37.965765,-121.775818,12,62,55
37.528476,-120.853313,12,65,56
31.559484,-84.594397,02,52,26
38.621179,-84.581444,06,31,17
39.596748,-94.822765,03,29,16
18.043498,-66.015479,17,86,76
29.830348,-99.331352,04,45,27
40.632407,-80.683847,19,32,20
31.111441,-83.676797,03,51,28
37.970133,-84.144974,04,31,15
37.282791,-93.099771,01,32,18
18.136782,-65.821476,17,85,76
30.513226,-94.394328,03,50,31
32.817888,-117.031956,04,68,53
32.016897,-82.468830,02,52,27
34.147718,-117.464506,04,68,52
18.482370,-66.391079,17,86,74
30.721716,-96.109298,03,48,32
38.358121,-121.911547,07,40,24
39.305245,-123.748616,12,57,52
32.908915,-116.891975,04,69,50
31.182755,-81.805594,03,56,31
38.388903,-90.436886,01,31,17
18.407226,-66.808999,17,86,74
29.916920,-97.028763,04,47,35
40.765478,-122.941428,18,48,42
38.134068,-122.527190,12,61,55
33.828396,-117.207660,04,67,48
31.216548,-83.190727,03,53,28
37.529664,-86.027886,21,30,16
38.789354,-94.543625,03,28,16
18.331178,-65.634104,17,85,77
32.929648,-102.133506,03,41,27
34.110186,-117.810390,04,68,53
33.437124,-84.874183,01,42,22
38.303813,-85.490141,03,33,19
41.380516,-74.480462,21,36,21
18.360729,-66.251527,17,86,76
31.102393,-98.259362,04,45,31
33.801191,-117.994904,04,67,56
31.322028,-84.414137,02,52,26
18.338161,-65.941083,17,86,75
29.809429,-99.540242,04,46,28
38.240419,-121.587535,12,59,54
38.627951,-121.593287,12,60,55
31.613378,-83.065969,02,52,28
33.735629,-102.332216,03,43,28
34.032301,-117.010574,04,64,46
32.190998,-84.130230,01,50,23
34.144557,-118.256507,04,67,55
38.751295,-90.729626,02,30,14
30.075658,-94.733441,03,51,31
35.850468,-79.023121,01,43,22
35.106284,-81.221471,01,45,20
40.443915,-79.953256,19,32,21
42.447924,-71.776045,04,35,18
41.761345,-73.060443,21,33,17
41.005109,-79.884740,19,30,19
33.163130,-96.790193,02,44,30
29.284496,-95.281587,06,51,41
32.580181,-96.964675,02,44,30
29.834034,-95.051267,04,51,38
32.963417,-96.984664,02,46,33
31.094009,-98.027339,03,44,31
29.698461,-95.121268,04,51,40
33.727126,-96.470794,02,44,31
43.592114,-103.568147,19,17,3
31.395823,-83.025392,03,52,28
34.156529,-117.841605,04,68,53
38.870205,-90.219539,01,31,19
36.380233,-100.507442,02,41,24
32.185059,-81.659775,02,52,26
33.955743,-102.145171,03,44,28
32.440068,-83.748603,01,50,23
38.862111,-94.408320,03,29,18
30.846249,-95.117513,03,49,28
31.958169,-84.614896,01,50,23
38.436589,-90.216459,02,31,17
30.688543,-98.689889,04,46,30
44.715246,-86.048690,22,30,21
30.773089,-83.556898,03,53,27
38.798916,-90.606645,02,30,16
29.721920,-97.758948,04,48,32
32.011133,-82.121758,02,52,27
30.879380,-96.138959,03,48,32
44.068815,-68.853314,22,34,18
34.897650,-84.977052,03,39,20
30.085732,-103.117740,03,52,31
33.113614,-82.795759,01,49,24
32.468303,-94.299079,02,45,28
45.509203,-122.433468,18,42,38
32.554049,-82.595322,01,51,26
45.483213,-122.510515,18,42,38
30.910963,-98.994062,03,45,27
34.439855,-118.644401,04,70,51
33.251362,-83.001031,01,49,25
45.352514,-122.668534,18,44,38
34.921474,-83.381098,01,38,12
34.193326,-118.818684,04,68,52
41.147960,-81.341421,19,31,21
36.991559,-91.971986,01,33,18
33.009335,-97.226720,02,46,31
29.539422,-95.134995,04,51,41
33.284390,-96.200388,02,44,28
29.052739,-95.474351,06,50,41
32.564518,-96.752223,02,45,30
33.245817,-96.630720,03,40,28
29.545041,-95.350629,04,51,40
26.062006,-97.846971,07,46,43
39.751037,-108.113722,06,38,25
44.557132,-72.080590,19,27,11
43.118625,-92.166877,04,17,10
20.897296,-156.613540,12,79,69
32.425638,-81.350634,01,52,27
44.996537,-67.694027,21,33,16
34.855772,-100.510099,02,43,27
37.373950,-87.575537,03,33,17
30.706502,-83.019027,03,55,28
30.884365,-99.853990,03,46,26
41.289495,-82.231223,19,29,23
34.582280,-85.285800,01,40,18
31.875118,-103.933311,02,44,24
34.123528,-84.457649,01,42,19
33.714796,-117.749139,04,66,56
32.083642,-97.736491,02,44,28
44.760322,-67.255047,21,33,17
32.543263,-82.180910,01,51,25
31.272382,-100.889468,04,47,30
32.753793,-81.603534,01,51,26
33.219365,-116.535247,04,60,40
35.830763,-100.765905,02,42,26
31.529137,-83.894978,02,51,26
39.263668,-74.607856,02,42,29
31.582140,-102.977116,03,45,28
32.796402,-84.535090,01,47,24
33.455656,-97.752881,02,43,28
46.431726,-86.000888,22,26,20
43.438798,-76.457454,19,30,23
34.214740,-117.192326,04,55,40
33.510507,-102.646422,03,45,27
30.770798,-84.043704,03,52,29
33.146015,-95.107952,02,44,29
46.940645,-90.570830,19,21,10
34.184616,-118.576125,04,69,51
42.633522,-84.538076,19,31,21
40.352555,-80.702470,19,31,21
39.401084,-76.973736,19,20,15
40.930554,-80.356607,19,31,19
40.190142,-79.160129,19,27,20
34.495537,-117.756645,04,66,47
33.273603,-96.990042,02,45,33
26.158622,-97.989155,07,47,43
32.830657,-97.145158,02,45,32
32.521773,-96.807315,02,45,30
32.643212,-96.916468,02,45,31
32.823993,-97.048687,02,45,33
32.925765,-97.071545,02,46,32
40.235081,-104.999386,04,40,23
45.575865,-103.657033,31,5,-7
33.512953,-82.514855,01,48,23
33.952621,-102.966213,03,46,28
34.552419,-83.325929,01,47,25
30.286936,-96.189365,03,49,33
35.034063,-85.517519,03,39,19
